Component ID,Author Surname,Source Code,Page # ,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Base Category (if secondary)-B,Base Category (if secondary)-C,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Condition-B,Allomorph-C,Condition-C,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Contains component (enter)-A,Contains component (enter)-B,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
6,Cook & Muehlbauer,CC_JM2010,0013,crk,,plai1258,-(i)ht-,C-P:1,,,,,,do by ear,,final,TI,,,,,,,,,-htaw-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM
7,Cook & Muehlbauer,CC_JM2010,"0016,0023",crk,,plai1258,-(i)kan,C-P:1,,,,,,instrument,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM
8,Cook & Muehlbauer,CC_JM2010,0023,crk,,plai1258,-(i)kan,C-P:1,,,,,,referent associated with verb,,final,N,,,Y,TA,TI,,,,,,-ikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""(Elicitation)""",,GVM
9,Cook & Muehlbauer,CC_JM2010,0023,crk,,plai1258,-(i)kâso-,C-P:1,,,,,,middle reflexive,,final,AI,,,Y,TA,,,,,,-(i)kâtê-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM
10,Cook & Muehlbauer,CC_JM2010,0023,crk,,plai1258,-(i)kâtê-,C-P:1,,,,,,middle reflexive,,final,TI,,,Y,II,,,-(i)kâso-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM
11,Cook & Muehlbauer,CC_JM2010,"0016,0023",crk,,plai1258,-(i)kê-,C-P:1,,,,,,general goal or object,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM
12,Cook & Muehlbauer,CC_JM2010,0017,crk,,plai1258,-(i)si-,C-P:1,,,,,,NG,,final,AI,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM
13,Cook & Muehlbauer,CC_JM2010,0017,crk,,plai1258,-(i)sk-,C-P:1,,,,,,do by foot or body movement,,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM
14,Cook & Muehlbauer,CC_JM2010,0018,crk,,plai1258,-(i)skaw-,C-P:1,,,,,,do by foot or body movement,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM
15,Cook & Muehlbauer,CC_JM2010,0037,crk,,plai1258,-(i)st-,C-P:1,,,,,,NG,,final,AI,,ABSTR,Y,AI,,,,,,,-ist-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM
