Component ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Condition-B,Allomorph-C,Condition-C,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occufs in what component(s)-B,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
59,Fisher et al.,LF2019,,chy,,chey1247,-áeh,CH:1,,,,,,scare s.o.,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
60,Fisher et al.,LF2019,,chy,,chey1247,-aénamá,CH:1,,,,,,year(s),,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
61,Fisher et al.,LF2019,,chy,,chey1247,-ahá,CH:1,,,,,,vagina,,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body part medial,,,MAM
62,Fisher et al.,LF2019,,chy,,chey1247,-ahá'eov,CH:1,,,,,,cook for s.o.,,final,TA,,,,,-há'ené,,,,,,,,,,-pėhévȧhá'eov,,,V,TA,cook good for s.o.,,LF2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
63,Fisher et al.,LF2019,,chy,,chey1247,-ahe,CH:1,,,,,,state; referring to permanent state or condition,,final,AI,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
64,Fisher et al.,LF2019,,chy,,chey1247,-ahé,CH:1,,,,,,"like, similar",,final,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""The verb associated with a noun that takes this suffix must be a relative verb.""",,,MAM
65,Fisher et al.,LF2019,,chy,,chey1247,-ahkané,CH:1,,,,,,"gum - make, pitch - make",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""for example, for chewing as gum or as glue for flutes.""",,,MAM
66,Fisher et al.,LF2019,,chy,,chey1247,-aho'h(n),CH:1,,,,,,"by heat, by sun",,final,TA,,,,,-aho'he ,-aho'tá,,-aho'tá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
67,Fisher et al.,LF2019,,chy,,chey1247,-aho'he,CH:1,,,,,,"by heat, by sun",,final,AI,,,,,,-aho'tá,-aho'h(n),-aho'tá,-ho'he,,,,,,-asėtȧho'he / -asetȧho'he (?),,,V,AI,leave by car,,LF2019,-ávȧho'he,,,V,AI,lay down from heat,,LF2019,-he'konȧho'he,,,V,AI,cooked hard,,LF2019,-nėhpotómeoestȧho'he,,,V,AI,suffocate in fire,,LF2019,,,,,,,,,,MAM
68,Fisher et al.,LF2019,,chy,,chey1247,-aho'hová,CH:1,,,,,,"heat, engine",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
69,Fisher et al.,LF2019,,chy,,chey1247,-aho'tá,CH:1,,,,,,"by heat, by sun",,final,TI,,,,,-aho'he ,-aho'tá,-aho'h(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Listed as a TI final in entry for AI final -aho'he, but elsewhere as II final. This might be a typo.",,,MAM
